pv,upper,lower,precision,drive_high,drive_low,scan,mdel
SR01LM-PC-SQUAD-03:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-SQUAD-05:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-SQUAD-05:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-SQUAD-06:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-SQUAD-06:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-SQUAD-07:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-SQUAD-07:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-VSTR-00:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-VSTR-00:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-VSTR-01:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-VSTR-01:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-VSTR-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-VSTR-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-VSTR-03:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-VSTR-03:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-VSTR-05:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-VSTR-05:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-VSTR-06:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-VSTR-06:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01LM-PC-VSTR-07:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
SR01LM-PC-VSTR-07:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive,0
SR01MS-PC-ABQ-03:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr,0
