set_pv,offset_pv,delta_pv
SR19A-PC-Q1N-16:SETI,SR19A-PC-Q1N-16:OFFSET1,SR-CS-TFB-01:19Q1N16:I
SR19A-PC-Q2N-02:SETI,SR19A-PC-Q2N-02:OFFSET1,SR-CS-TFB-01:19Q2N02:I
SR19A-PC-Q2N-15:SETI,SR19A-PC-Q2N-15:OFFSET1,SR-CS-TFB-01:19Q2N15:I
SR20A-PC-Q0L-17:SETI,SR20A-PC-Q0L-17:OFFSET1,SR-CS-TFB-01:20Q0L17:I
SR20A-PC-Q1L-16:SETI,SR20A-PC-Q1L-16:OFFSET1,SR-CS-TFB-01:20Q1L16:I
SR20A-PC-Q1N-01:SETI,SR20A-PC-Q1N-01:OFFSET1,SR-CS-TFB-01:20Q1N01:I
SR20A-PC-Q2L-15:SETI,SR20A-PC-Q2L-15:OFFSET1,SR-CS-TFB-01:20Q2L15:I
SR20A-PC-Q2N-02:SETI,SR20A-PC-Q2N-02:OFFSET1,SR-CS-TFB-01:20Q2N02:I
SR21A-PC-Q0L-01:SETI,SR21A-PC-Q0L-01:OFFSET1,SR-CS-TFB-01:21Q0L01:I
SR21A-PC-Q1L-02:SETI,SR21A-PC-Q1L-02:OFFSET1,SR-CS-TFB-01:21Q1L02:I
SR21A-PC-Q1N-17:SETI,SR21A-PC-Q1N-17:OFFSET1,SR-CS-TFB-01:21Q1N17:I
SR21A-PC-Q2L-03:SETI,SR21A-PC-Q2L-03:OFFSET1,SR-CS-TFB-01:21Q2L03:I
SR21A-PC-Q2N-16:SETI,SR21A-PC-Q2N-16:OFFSET1,SR-CS-TFB-01:21Q2N16:I
SR22A-PC-Q1N-01:SETI,SR22A-PC-Q1N-01:OFFSET1,SR-CS-TFB-01:22Q1N01:I
SR22A-PC-Q1N-16:SETI,SR22A-PC-Q1N-16:OFFSET1,SR-CS-TFB-01:22Q1N16:I
SR22A-PC-Q2N-02:SETI,SR22A-PC-Q2N-02:OFFSET1,SR-CS-TFB-01:22Q2N02:I
SR22A-PC-Q2N-15:SETI,SR22A-PC-Q2N-15:OFFSET1,SR-CS-TFB-01:22Q2N15:I
SR23A-PC-Q1N-01:SETI,SR23A-PC-Q1N-01:OFFSET1,SR-CS-TFB-01:23Q1N01:I
SR23A-PC-Q1N-16:SETI,SR23A-PC-Q1N-16:OFFSET1,SR-CS-TFB-01:23Q1N16:I
SR23A-PC-Q2N-02:SETI,SR23A-PC-Q2N-02:OFFSET1,SR-CS-TFB-01:23Q2N02:I
SR23A-PC-Q2N-15:SETI,SR23A-PC-Q2N-15:OFFSET1,SR-CS-TFB-01:23Q2N15:I
SR24A-PC-Q0L-17:SETI,SR24A-PC-Q0L-17:OFFSET1,SR-CS-TFB-01:24Q0L17:I
SR24A-PC-Q1L-16:SETI,SR24A-PC-Q1L-16:OFFSET1,SR-CS-TFB-01:24Q1L16:I
SR24A-PC-Q1N-01:SETI,SR24A-PC-Q1N-01:OFFSET1,SR-CS-TFB-01:24Q1N01:I
SR24A-PC-Q2L-15:SETI,SR24A-PC-Q2L-15:OFFSET1,SR-CS-TFB-01:24Q2L15:I
SR24A-PC-Q2N-02:SETI,SR24A-PC-Q2N-02:OFFSET1,SR-CS-TFB-01:24Q2N02:I
