index,field,pv,value,record_type
1696,state,SR11A-PC-HSTR-02:STATE,2,ai
1696,state,SR11A-PC-VSTR-02:STATE,2,ai
1698,enabled,SR11C-DI-EBPM-02:CF:ENABLED_S,1,ai
1702,error_sum,SR11A-PC-HSTR-03:ERCSUM,0,ai
1702,error_sum,SR11A-PC-VSTR-03:ERCSUM,0,ai
1702,state,SR11A-PC-HSTR-03:STATE,2,ai
1702,state,SR11A-PC-VSTR-03:STATE,2,ai
1708,enabled,SR11C-DI-EBPM-03:CF:ENABLED_S,1,ai
1713,error_sum,SR11A-PC-HSTR-04:ERCSUM,0,ai
1713,error_sum,SR11A-PC-VSTR-04:ERCSUM,0,ai
1713,state,SR11A-PC-HSTR-04:STATE,2,ai
1713,state,SR11A-PC-VSTR-04:STATE,2,ai
1723,error_sum,SR11A-PC-HSTR-05:ERCSUM,0,ai
1723,error_sum,SR11A-PC-VSTR-05:ERCSUM,0,ai
1723,state,SR11A-PC-HSTR-05:STATE,2,ai
1723,state,SR11A-PC-VSTR-05:STATE,2,ai
1728,enabled,SR11C-DI-EBPM-04:CF:ENABLED_S,1,ai
1736,error_sum,SR11A-PC-HSTR-06:ERCSUM,0,ai
1736,error_sum,SR11A-PC-VSTR-06:ERCSUM,0,ai
1736,state,SR11A-PC-HSTR-06:STATE,2,ai
1736,state,SR11A-PC-VSTR-06:STATE,2,ai
1739,enabled,SR11C-DI-EBPM-05:CF:ENABLED_S,1,ai
1757,enabled,SR11C-DI-EBPM-06:CF:ENABLED_S,1,ai
1763,error_sum,SR11A-PC-HSTR-07:ERCSUM,0,ai
1763,error_sum,SR11A-PC-VSTR-07:ERCSUM,0,ai
1763,state,SR11A-PC-HSTR-07:STATE,2,ai
1763,state,SR11A-PC-VSTR-07:STATE,2,ai
1771,enabled,SR11C-DI-EBPM-07:CF:ENABLED_S,1,ai
1773,error_sum,SR11A-PC-HSTR-08:ERCSUM,0,ai
1773,error_sum,SR11A-PC-VSTR-08:ERCSUM,0,ai
1773,state,SR11A-PC-HSTR-08:STATE,2,ai
1773,state,SR11A-PC-VSTR-08:STATE,2,ai
1783,error_sum,SR11A-PC-HSTR-09:ERCSUM,0,ai
1783,error_sum,SR11A-PC-VSTR-09:ERCSUM,0,ai
1783,state,SR11A-PC-HSTR-09:STATE,2,ai
1783,state,SR11A-PC-VSTR-09:STATE,2,ai
1785,enabled,SR11C-DI-EBPM-08:CF:ENABLED_S,1,ai
1794,error_sum,SR11A-PC-HSTR-10:ERCSUM,0,ai
1794,error_sum,SR11A-PC-VSTR-10:ERCSUM,0,ai
1794,state,SR11A-PC-HSTR-10:STATE,2,ai
1794,state,SR11A-PC-VSTR-10:STATE,2,ai
1801,enabled,SR11C-DI-EBPM-09:CF:ENABLED_S,1,ai
1803,error_sum,SR11A-PC-HSTR-11:ERCSUM,0,ai
1803,error_sum,SR11A-PC-VSTR-11:ERCSUM,0,ai
1803,state,SR11A-PC-HSTR-11:STATE,2,ai
1803,state,SR11A-PC-VSTR-11:STATE,2,ai
1813,offset,SR11A-PC-Q2N-15:OFFSET1,0,ai
1815,error_sum,SR11A-PC-HSTR-12:ERCSUM,0,ai
1815,error_sum,SR11A-PC-VSTR-12:ERCSUM,0,ai
1815,state,SR11A-PC-HSTR-12:STATE,2,ai
1815,state,SR11A-PC-VSTR-12:STATE,2,ai
1817,offset,SR11A-PC-Q1N-16:OFFSET1,0,ai
1820,enabled,SR11C-DI-EBPM-10:CF:ENABLED_S,1,ai
1836,enabled,SR12C-DI-EBPM-01:CF:ENABLED_S,1,ai
1842,offset,SR12A-PC-Q1N-01:OFFSET1,0,ai
1844,error_sum,SR12A-PC-HSTR-01:ERCSUM,0,ai
1844,error_sum,SR12A-PC-VSTR-01:ERCSUM,0,ai
1844,state,SR12A-PC-HSTR-01:STATE,2,ai
1844,state,SR12A-PC-VSTR-01:STATE,2,ai
1846,offset,SR12A-PC-Q2N-02:OFFSET1,0,ai
1856,error_sum,SR12A-PC-HSTR-02:ERCSUM,0,ai
1856,error_sum,SR12A-PC-VSTR-02:ERCSUM,0,ai
1856,state,SR12A-PC-HSTR-02:STATE,2,ai
1856,state,SR12A-PC-VSTR-02:STATE,2,ai
1858,enabled,SR12C-DI-EBPM-02:CF:ENABLED_S,1,ai
