pv,upper,lower,precision,drive_high,drive_low,scan
SR02A-PC-HSTR-12:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-Q1N-01:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-Q1N-01:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-Q1N-16:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-Q1N-16:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-Q2N-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-Q2N-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-Q2N-15:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-Q2N-15:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-Q3N-03:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-Q3N-03:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-Q3N-14:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-Q3N-14:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-Q4N-06:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-Q4N-06:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-Q4N-11:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-Q4N-11:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-Q5N-07:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-Q5N-07:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-Q5N-10:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-Q5N-10:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-Q6N-08:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-Q6N-08:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-Q6N-09:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-Q6N-09:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-S1X-01:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-S1X-01:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-S1X-12:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-S1X-12:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-S2A-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-S2A-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-S2A-11:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-S2A-11:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-S3A-03:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-S3A-03:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-S3A-10:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-S3A-10:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-S4A-04:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-S4A-04:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-S4A-09:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-S4A-09:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-S5X-05:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-S5X-05:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-S5X-08:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-S5X-08:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-S6X-06:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-S6X-06:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-S6X-07:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-S6X-07:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-SQUAD-01:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-SQUAD-01:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-SQUAD-02:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-SQUAD-02:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-SQUAD-03:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-SQUAD-03:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-SQUAD-04:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-SQUAD-04:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-SQUAD-05:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-SQUAD-05:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-SQUAD-06:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-SQUAD-06:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-SQUAD-07:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-SQUAD-07:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-SQUAD-08:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-SQUAD-08:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-SQUAD-09:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-SQUAD-09:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-SQUAD-10:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-SQUAD-10:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
SR02A-PC-SQUAD-11:I,1500.0,-1500.0,3,1500.0,-1500.0,I/O Intr
SR02A-PC-SQUAD-11:SETI,1500.0,-1500.0,3,1500.0,-1500.0,Passive
